Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,EDAT_Q,SEXE
2013-01-01,1,Ciutat Vella,1,el Raval,7,1,3,1
2013-01-01,1,Ciutat Vella,1,el Raval,21,1,3,2
2013-01-01,1,Ciutat Vella,1,el Raval,42,1,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,97,1,4,2
2013-01-01,1,Ciutat Vella,1,el Raval,28,1,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,108,1,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,27,1,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,78,1,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,43,1,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,57,1,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,61,1,8,1
2013-01-01,1,Ciutat Vella,1,el Raval,71,1,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,51,1,9,1
2013-01-01,1,Ciutat Vella,1,el Raval,65,1,9,2
2013-01-01,1,Ciutat Vella,1,el Raval,80,1,10,1
2013-01-01,1,Ciutat Vella,1,el Raval,55,1,10,2
2013-01-01,1,Ciutat Vella,1,el Raval,76,1,11,1
2013-01-01,1,Ciutat Vella,1,el Raval,66,1,11,2
2013-01-01,1,Ciutat Vella,1,el Raval,98,1,12,1
2013-01-01,1,Ciutat Vella,1,el Raval,82,1,12,2
2013-01-01,1,Ciutat Vella,1,el Raval,134,1,13,1
2013-01-01,1,Ciutat Vella,1,el Raval,108,1,13,2
2013-01-01,1,Ciutat Vella,1,el Raval,188,1,14,1
2013-01-01,1,Ciutat Vella,1,el Raval,99,1,14,2
2013-01-01,1,Ciutat Vella,1,el Raval,251,1,15,1
2013-01-01,1,Ciutat Vella,1,el Raval,153,1,15,2
2013-01-01,1,Ciutat Vella,1,el Raval,290,1,16,1
2013-01-01,1,Ciutat Vella,1,el Raval,100,1,16,2
2013-01-01,1,Ciutat Vella,1,el Raval,209,1,17,1
2013-01-01,1,Ciutat Vella,1,el Raval,68,1,17,2
2013-01-01,1,Ciutat Vella,1,el Raval,116,1,18,1
2013-01-01,1,Ciutat Vella,1,el Raval,14,1,18,2
2013-01-01,1,Ciutat Vella,1,el Raval,17,1,19,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,1,19,2
2013-01-01,1,Ciutat Vella,1,el Raval,8,1,20,1
2013-01-01,1,Ciutat Vella,1,el Raval,65,2,3,1
2013-01-01,1,Ciutat Vella,1,el Raval,155,2,3,2
2013-01-01,1,Ciutat Vella,1,el Raval,273,2,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,691,2,4,2
2013-01-01,1,Ciutat Vella,1,el Raval,383,2,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,881,2,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,479,2,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,1217,2,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,471,2,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,1201,2,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,482,2,8,1
2013-01-01,1,Ciutat Vella,1,el Raval,985,2,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,455,2,9,1
2013-01-01,1,Ciutat Vella,1,el Raval,736,2,9,2
2013-01-01,1,Ciutat Vella,1,el Raval,396,2,10,1
2013-01-01,1,Ciutat Vella,1,el Raval,567,2,10,2
2013-01-01,1,Ciutat Vella,1,el Raval,351,2,11,1
2013-01-01,1,Ciutat Vella,1,el Raval,450,2,11,2
2013-01-01,1,Ciutat Vella,1,el Raval,331,2,12,1
2013-01-01,1,Ciutat Vella,1,el Raval,342,2,12,2
2013-01-01,1,Ciutat Vella,1,el Raval,353,2,13,1
2013-01-01,1,Ciutat Vella,1,el Raval,335,2,13,2
2013-01-01,1,Ciutat Vella,1,el Raval,307,2,14,1
2013-01-01,1,Ciutat Vella,1,el Raval,254,2,14,2
2013-01-01,1,Ciutat Vella,1,el Raval,339,2,15,1
2013-01-01,1,Ciutat Vella,1,el Raval,272,2,15,2
2013-01-01,1,Ciutat Vella,1,el Raval,307,2,16,1
2013-01-01,1,Ciutat Vella,1,el Raval,151,2,16,2
2013-01-01,1,Ciutat Vella,1,el Raval,237,2,17,1
2013-01-01,1,Ciutat Vella,1,el Raval,84,2,17,2
2013-01-01,1,Ciutat Vella,1,el Raval,81,2,18,1
2013-01-01,1,Ciutat Vella,1,el Raval,21,2,18,2
2013-01-01,1,Ciutat Vella,1,el Raval,14,2,19,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,2,19,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,2,20,1
2013-01-01,1,Ciutat Vella,1,el Raval,265,3,3,1
2013-01-01,1,Ciutat Vella,1,el Raval,281,3,3,2
2013-01-01,1,Ciutat Vella,1,el Raval,401,3,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,548,3,4,2
2013-01-01,1,Ciutat Vella,1,el Raval,381,3,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,624,3,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,474,3,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,784,3,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,471,3,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,770,3,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,435,3,8,1
2013-01-01,1,Ciutat Vella,1,el Raval,614,3,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,343,3,9,1
2013-01-01,1,Ciutat Vella,1,el Raval,450,3,9,2
2013-01-01,1,Ciutat Vella,1,el Raval,302,3,10,1
2013-01-01,1,Ciutat Vella,1,el Raval,306,3,10,2
2013-01-01,1,Ciutat Vella,1,el Raval,192,3,11,1
2013-01-01,1,Ciutat Vella,1,el Raval,219,3,11,2
2013-01-01,1,Ciutat Vella,1,el Raval,163,3,12,1
2013-01-01,1,Ciutat Vella,1,el Raval,154,3,12,2
2013-01-01,1,Ciutat Vella,1,el Raval,120,3,13,1
2013-01-01,1,Ciutat Vella,1,el Raval,115,3,13,2
2013-01-01,1,Ciutat Vella,1,el Raval,89,3,14,1
2013-01-01,1,Ciutat Vella,1,el Raval,81,3,14,2
2013-01-01,1,Ciutat Vella,1,el Raval,91,3,15,1
2013-01-01,1,Ciutat Vella,1,el Raval,63,3,15,2
2013-01-01,1,Ciutat Vella,1,el Raval,75,3,16,1
2013-01-01,1,Ciutat Vella,1,el Raval,45,3,16,2
2013-01-01,1,Ciutat Vella,1,el Raval,47,3,17,1
2013-01-01,1,Ciutat Vella,1,el Raval,23,3,17,2
2013-01-01,1,Ciutat Vella,1,el Raval,17,3,18,1
2013-01-01,1,Ciutat Vella,1,el Raval,5,3,18,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,3,19,1
2013-01-01,1,Ciutat Vella,1,el Raval,..,3,19,2
2013-01-01,1,Ciutat Vella,1,el Raval,..,3,20,1
2013-01-01,1,Ciutat Vella,1,el Raval,77,4,3,1
2013-01-01,1,Ciutat Vella,1,el Raval,42,4,3,2
2013-01-01,1,Ciutat Vella,1,el Raval,413,4,4,1
2013-01-01,1,Ciutat Vella,1,el Raval,324,4,4,2
2013-01-01,1,Ciutat Vella,1,el Raval,503,4,5,1
2013-01-01,1,Ciutat Vella,1,el Raval,563,4,5,2
2013-01-01,1,Ciutat Vella,1,el Raval,533,4,6,1
2013-01-01,1,Ciutat Vella,1,el Raval,644,4,6,2
2013-01-01,1,Ciutat Vella,1,el Raval,455,4,7,1
2013-01-01,1,Ciutat Vella,1,el Raval,638,4,7,2
2013-01-01,1,Ciutat Vella,1,el Raval,386,4,8,1
2013-01-01,1,Ciutat Vella,1,el Raval,485,4,8,2
2013-01-01,1,Ciutat Vella,1,el Raval,338,4,9,1
2013-01-01,1,Ciutat Vella,1,el Raval,409,4,9,2
2013-01-01,1,Ciutat Vella,1,el Raval,294,4,10,1
2013-01-01,1,Ciutat Vella,1,el Raval,311,4,10,2
2013-01-01,1,Ciutat Vella,1,el Raval,190,4,11,1
