Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,EDAT_Q,SEXE
2003-01-01,1,Ciutat Vella,1,el Raval,45,1,3,1
2003-01-01,1,Ciutat Vella,1,el Raval,43,1,3,2
2003-01-01,1,Ciutat Vella,1,el Raval,59,1,4,1
2003-01-01,1,Ciutat Vella,1,el Raval,130,1,4,2
2003-01-01,1,Ciutat Vella,1,el Raval,63,1,5,1
2003-01-01,1,Ciutat Vella,1,el Raval,184,1,5,2
2003-01-01,1,Ciutat Vella,1,el Raval,77,1,6,1
2003-01-01,1,Ciutat Vella,1,el Raval,176,1,6,2
2003-01-01,1,Ciutat Vella,1,el Raval,71,1,7,1
2003-01-01,1,Ciutat Vella,1,el Raval,151,1,7,2
2003-01-01,1,Ciutat Vella,1,el Raval,121,1,8,1
2003-01-01,1,Ciutat Vella,1,el Raval,134,1,8,2
2003-01-01,1,Ciutat Vella,1,el Raval,127,1,9,1
2003-01-01,1,Ciutat Vella,1,el Raval,137,1,9,2
2003-01-01,1,Ciutat Vella,1,el Raval,145,1,10,1
2003-01-01,1,Ciutat Vella,1,el Raval,145,1,10,2
2003-01-01,1,Ciutat Vella,1,el Raval,222,1,11,1
2003-01-01,1,Ciutat Vella,1,el Raval,180,1,11,2
2003-01-01,1,Ciutat Vella,1,el Raval,269,1,12,1
2003-01-01,1,Ciutat Vella,1,el Raval,214,1,12,2
2003-01-01,1,Ciutat Vella,1,el Raval,404,1,13,1
2003-01-01,1,Ciutat Vella,1,el Raval,301,1,13,2
2003-01-01,1,Ciutat Vella,1,el Raval,561,1,14,1
2003-01-01,1,Ciutat Vella,1,el Raval,291,1,14,2
2003-01-01,1,Ciutat Vella,1,el Raval,562,1,15,1
2003-01-01,1,Ciutat Vella,1,el Raval,275,1,15,2
2003-01-01,1,Ciutat Vella,1,el Raval,484,1,16,1
2003-01-01,1,Ciutat Vella,1,el Raval,131,1,16,2
2003-01-01,1,Ciutat Vella,1,el Raval,273,1,17,1
2003-01-01,1,Ciutat Vella,1,el Raval,67,1,17,2
2003-01-01,1,Ciutat Vella,1,el Raval,140,1,18,1
2003-01-01,1,Ciutat Vella,1,el Raval,25,1,18,2
2003-01-01,1,Ciutat Vella,1,el Raval,41,1,19,1
2003-01-01,1,Ciutat Vella,1,el Raval,5,1,19,2
2003-01-01,1,Ciutat Vella,1,el Raval,..,1,20,1
2003-01-01,1,Ciutat Vella,1,el Raval,80,2,3,1
2003-01-01,1,Ciutat Vella,1,el Raval,90,2,3,2
2003-01-01,1,Ciutat Vella,1,el Raval,350,2,4,1
2003-01-01,1,Ciutat Vella,1,el Raval,774,2,4,2
2003-01-01,1,Ciutat Vella,1,el Raval,542,2,5,1
2003-01-01,1,Ciutat Vella,1,el Raval,1265,2,5,2
