"id","Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor","Nivell_Educatiu","Edat","Sexe"
1,2003,1,"Ciutat Vella",1,"el Raval",398,"Sense estudis",3,0
2,2003,1,"Ciutat Vella",1,"el Raval",376,"Sense estudis",3,1
3,2003,1,"Ciutat Vella",1,"el Raval",528,"Sense estudis",4,0
4,2003,1,"Ciutat Vella",1,"el Raval",48,"Sense estudis",4,1
5,2003,1,"Ciutat Vella",1,"el Raval",559,"Sense estudis",5,0
6,2003,1,"Ciutat Vella",1,"el Raval",107,"Sense estudis",5,1
7,2003,1,"Ciutat Vella",1,"el Raval",646,"Sense estudis",6,0
8,2003,1,"Ciutat Vella",1,"el Raval",98,"Sense estudis",6,1
9,2003,1,"Ciutat Vella",1,"el Raval",611,"Sense estudis",7,0
10,2003,1,"Ciutat Vella",1,"el Raval",71,"Sense estudis",7,1
11,2003,1,"Ciutat Vella",1,"el Raval",34,"Sense estudis",8,0
12,2003,1,"Ciutat Vella",1,"el Raval",52,"Sense estudis",8,1
13,2003,1,"Ciutat Vella",1,"el Raval",43,"Sense estudis",9,0
14,2003,1,"Ciutat Vella",1,"el Raval",55,"Sense estudis",9,1
15,2003,1,"Ciutat Vella",1,"el Raval",64,"Sense estudis",10,0
16,2003,1,"Ciutat Vella",1,"el Raval",64,"Sense estudis",10,1
17,2003,1,"Ciutat Vella",1,"el Raval",149,"Sense estudis",11,0
18,2003,1,"Ciutat Vella",1,"el Raval",103,"Sense estudis",11,1
19,2003,1,"Ciutat Vella",1,"el Raval",200,"Sense estudis",12,0
20,2003,1,"Ciutat Vella",1,"el Raval",140,"Sense estudis",12,1
21,2003,1,"Ciutat Vella",1,"el Raval",349,"Sense estudis",13,0
22,2003,1,"Ciutat Vella",1,"el Raval",236,"Sense estudis",13,1
23,2003,1,"Ciutat Vella",1,"el Raval",508,"Sense estudis",14,0
24,2003,1,"Ciutat Vella",1,"el Raval",225,"Sense estudis",14,1
25,2003,1,"Ciutat Vella",1,"el Raval",509,"Sense estudis",15,0
26,2003,1,"Ciutat Vella",1,"el Raval",207,"Sense estudis",15,1
27,2003,1,"Ciutat Vella",1,"el Raval",435,"Sense estudis",16,0
28,2003,1,"Ciutat Vella",1,"el Raval",49,"Sense estudis",16,1
29,2003,1,"Ciutat Vella",1,"el Raval",205,"Sense estudis",17,0
30,2003,1,"Ciutat Vella",1,"el Raval",582,"Sense estudis",17,1
31,2003,1,"Ciutat Vella",1,"el Raval",59,"Sense estudis",18,0
32,2003,1,"Ciutat Vella",1,"el Raval",179,"Sense estudis",18,1
33,2003,1,"Ciutat Vella",1,"el Raval",355,"Sense estudis",19,0
34,2003,1,"Ciutat Vella",1,"el Raval",450,"Sense estudis",19,1
35,2003,1,"Ciutat Vella",1,"el Raval",1,"Sense estudis",20,0
36,2003,1,"Ciutat Vella",1,"el Raval",661,"Estudis primaris o EGB",3,0
37,2003,1,"Ciutat Vella",1,"el Raval",705,"Estudis primaris o EGB",3,1
38,2003,1,"Ciutat Vella",1,"el Raval",290,"Estudis primaris o EGB",4,0
39,2003,1,"Ciutat Vella",1,"el Raval",648,"Estudis primaris o EGB",4,1
40,2003,1,"Ciutat Vella",1,"el Raval",492,"Estudis primaris o EGB",5,0
41,2003,1,"Ciutat Vella",1,"el Raval",42,"Estudis primaris o EGB",5,1
42,2003,1,"Ciutat Vella",1,"el Raval",410,"Estudis primaris o EGB",6,0
43,2003,1,"Ciutat Vella",1,"el Raval",46,"Estudis primaris o EGB",6,1
